"ndex","name","regional","type","type2","generation","isLegendary","isMythical","isUltraBeast","family","size","form","lbs","kg","lightest","heaveiest","MegaOrPrimal","ft","m","inch","smallest","bigest"
434,"Stunky",NA,"Poison","Dark",4,FALSE,FALSE,FALSE,NA,NA,NA,42.3,19.2,452,730,NA,"1'04""",0.4,16,163,1039
435,"Skuntank",NA,"Poison","Dark",4,FALSE,FALSE,FALSE,NA,NA,NA,83.8,38,666,516,NA,"3'03""",1,39,572,630
436,"Bronzor",NA,"Steel","Psychic",4,FALSE,FALSE,FALSE,NA,NA,NA,133.4,60.5,825,357,NA,"1'08""",0.5,20,246,956
437,"Bronzong",NA,"Steel","Psychic",4,FALSE,FALSE,FALSE,NA,NA,NA,412.3,187,1060,122,NA,"4'03""",1.3,51,749,453
438,"Bonsly",NA,"Rock",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,33.1,15,400,782,NA,"1'08""",0.5,20,247,955
439,"Mime Jr.",NA,"Psychic","Fairy",4,FALSE,FALSE,FALSE,NA,NA,NA,28.7,13,370,812,NA,"2'00""",0.6,24,328,874
440,"Happiny",NA,"Normal",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,53.8,24.4,521,661,NA,"2'00""",0.6,24,329,873
441,"Chatot",NA,"Normal","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,4.2,1.9,76,1106,NA,"1'08""",0.5,20,248,954
442,"Spiritomb",NA,"Ghost","Dark",4,FALSE,FALSE,FALSE,NA,NA,NA,238.1,108,978,204,NA,"3'03""",1,39,573,629
443,"Gible",NA,"Dragon","Ground",4,FALSE,FALSE,FALSE,NA,NA,NA,45.2,20.5,477,705,NA,"2'04""",0.7,28,406,796
444,"Gabite",NA,"Dragon","Ground",4,FALSE,FALSE,FALSE,NA,NA,NA,123.5,56,793,389,NA,"4'07""",1.4,55,798,404
445,"Garchomp",NA,"Dragon","Ground",4,FALSE,FALSE,FALSE,NA,NA,NA,209.4,95,945,237,NA,"6'03""",1.9,75,1012,190
446,"Munchlax",NA,"Normal",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,231.5,105,969,213,NA,"2'00""",0.6,24,330,872
447,"Riolu",NA,"Fighting",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,44.5,20.2,473,709,NA,"2'04""",0.7,28,407,795
448,"Lucario",NA,"Fighting","Steel",4,FALSE,FALSE,FALSE,NA,NA,NA,119,54,777,405,NA,"3'11""",1.2,47,690,512
448,"Lucario",NA,"Fighting","Steel",4,FALSE,FALSE,FALSE,NA,NA,NA,126.8,57.5,799,383,"Mega","4'03""",1.3,51,750,452
449,"Hippopotas",NA,"Ground",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,109.1,49.5,751,431,NA,"2'07""",0.8,31,466,736
450,"Hippowdon",NA,"Ground",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,661.4,300,1114,68,NA,"6'07""",2,79,1043,159
451,"Skorupi",NA,"Poison","Bug",4,FALSE,FALSE,FALSE,NA,NA,NA,26.5,12,352,830,NA,"2'07""",0.8,31,467,735
452,"Drapion",NA,"Poison","Dark",4,FALSE,FALSE,FALSE,NA,NA,NA,135.6,61.5,837,345,NA,"4'03""",1.3,51,751,451
453,"Croagunk",NA,"Poison","Fighting",4,FALSE,FALSE,FALSE,NA,NA,NA,50.7,23,507,675,NA,"2'04""",0.7,28,408,794
454,"Toxicroak",NA,"Poison","Fighting",4,FALSE,FALSE,FALSE,NA,NA,NA,97.9,44.4,723,459,NA,"4'03""",1.3,51,752,450
455,"Carnivine",NA,"Grass",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,59.5,27,547,635,NA,"4'07""",1.4,55,799,403
456,"Finneon",NA,"Water",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,15.4,7,236,946,NA,"1'04""",0.4,16,164,1038
457,"Lumineon",NA,"Water",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,52.9,24,519,663,NA,"3'11""",1.2,47,691,511
458,"Mantyke",NA,"Water","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,143.3,65,849,333,NA,"3'03""",1,39,574,628
459,"Snover",NA,"Grass","Ice",4,FALSE,FALSE,FALSE,NA,NA,NA,111.3,50.5,758,424,NA,"3'03""",1,39,575,627
460,"Abomasnow",NA,"Grass","Ice",4,FALSE,FALSE,FALSE,NA,NA,NA,298.7,135.5,1024,158,NA,"7'03""",2.2,87,1079,123
460,"Abomasnow",NA,"Grass","Ice",4,FALSE,FALSE,FALSE,NA,NA,NA,407.9,185,1057,125,"Mega","8'10""",2.7,106,1121,81
461,"Weavile",NA,"Dark","Ice",4,FALSE,FALSE,FALSE,NA,NA,NA,75,34,635,547,NA,"3'07""",1.1,43,636,566
462,"Magnezone",NA,"Electric","Steel",4,FALSE,FALSE,FALSE,NA,NA,NA,396.8,180,1055,127,NA,"3'11""",1.2,47,692,510
463,"Lickilicky",NA,"Normal",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,308.6,140,1028,154,NA,"5'07""",1.7,67,951,251
464,"Rhyperior",NA,"Ground","Rock",4,FALSE,FALSE,FALSE,NA,NA,NA,623.5,282.8,1110,72,NA,"7'10""",2.4,94,1097,105
465,"Tangrowth",NA,"Grass",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,283.5,128.6,1016,166,NA,"6'07""",2,79,1044,158
466,"Electivire",NA,"Electric",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,305.6,138.6,1026,156,NA,"5'11""",1.8,71,980,222
467,"Magmortar",NA,"Fire",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,149.9,68,856,326,NA,"5'03""",1.6,63,898,304
468,"Togekiss",NA,"Fairy","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,83.8,38,667,515,NA,"4'11""",1.5,59,846,356
469,"Yanmega",NA,"Bug","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,113.5,51.5,764,418,NA,"6'03""",1.9,75,1014,188
470,"Leafeon",NA,"Grass",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,56.2,25.5,537,645,NA,"3'03""",1,39,576,626
471,"Glaceon",NA,"Ice",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,57.1,25.9,539,643,NA,"2'07""",0.8,31,468,734
472,"Gliscor",NA,"Ground","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,93.7,42.5,714,468,NA,"6'07""",2,79,1045,157
473,"Mamoswine",NA,"Ice","Ground",4,FALSE,FALSE,FALSE,NA,NA,NA,641.5,291,1112,70,NA,"8'02""",2.5,98,1108,94
474,"Porygon-Z",NA,"Normal",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,75,34,636,546,NA,"2'11""",0.9,35,518,684
475,"Gallade",NA,"Psychic","Fighting",4,FALSE,FALSE,FALSE,NA,NA,NA,114.6,52,768,414,NA,"5'03""",1.6,63,899,303
475,"Gallade",NA,"Psychic","Fighting",4,FALSE,FALSE,FALSE,NA,NA,NA,124.3,56.4,795,387,"Mega","5'03""",1.6,63,900,302
476,"Probopass",NA,"Rock","Steel",4,FALSE,FALSE,FALSE,NA,NA,NA,749.6,340,1134,48,NA,"4'07""",1.4,55,800,402
477,"Dusknoir",NA,"Ghost",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,235,106.6,975,207,NA,"7'03""",2.2,87,1080,122
478,"Froslass",NA,"Ice","Ghost",4,FALSE,FALSE,FALSE,NA,NA,NA,58.6,26.6,543,639,NA,"4'03""",1.3,51,753,449
479,"Rotom",NA,"Electric","Ghost",4,FALSE,FALSE,FALSE,NA,NA,NA,0.7,0.3,9,1173,NA,"1'00""",0.3,12,67,1135
479,"Rotom",NA,"Electric","Fire",4,FALSE,FALSE,FALSE,NA,NA,NA,0.7,0.3,9,1173,NA,"1'00""",0.3,12,67,1135
479,"Rotom",NA,"Electric","Water",4,FALSE,FALSE,FALSE,NA,NA,NA,0.7,0.3,9,1173,NA,"1'00""",0.3,12,67,1135
479,"Rotom",NA,"Electric","Ice",4,FALSE,FALSE,FALSE,NA,NA,NA,0.7,0.3,9,1173,NA,"1'00""",0.3,12,67,1135
479,"Rotom",NA,"Electric","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,0.7,0.3,9,1173,NA,"1'00""",0.3,12,67,1135
479,"Rotom",NA,"Electric","Grass",4,FALSE,FALSE,FALSE,NA,NA,NA,0.7,0.3,9,1173,NA,"1'00""",0.3,12,67,1135
480,"Uxie",NA,"Psychic",NA,4,TRUE,FALSE,FALSE,"Lake guardians","trios",NA,0.7,0.3,10,1172,NA,"1'00""",0.3,12,68,1134
481,"Mesprit",NA,"Psychic",NA,4,TRUE,FALSE,FALSE,"Lake guardians","trios",NA,0.7,0.3,11,1171,NA,"1'00""",0.3,12,69,1133
482,"Azelf",NA,"Psychic",NA,4,TRUE,FALSE,FALSE,"Lake guardians","trios",NA,0.7,0.3,12,1170,NA,"1'00""",0.3,12,70,1132
483,"Dialga",NA,"Steel","Dragon",4,TRUE,FALSE,FALSE,"Pokémon of Myth","trios",NA,1505.8,683,1163,19,NA,"17'09""",5.4,213,1177,25
483,"Dialga",NA,"Steel","Dragon",4,TRUE,FALSE,FALSE,"Pokémon of Myth","trios","Origin Forme",1871,848.7,1173,9,NA,"23'00""",7,276,1188,14
483,"Dialga",NA,"Steel","Dragon",4,TRUE,FALSE,FALSE,"Pokémon of Myth","trios","Origin Forme",1505.8,683,1163,19,NA,"23'00""",7,276,1188,14
483,"Dialga",NA,"Steel","Dragon",4,TRUE,FALSE,FALSE,"Pokémon of Myth","trios","Origin Forme",1871,848.7,1173,9,NA,"17'09""",5.4,213,1177,25
484,"Palkia",NA,"Water","Dragon",4,TRUE,FALSE,FALSE,"Pokémon of Myth","trios",NA,740.8,336,1133,49,NA,"13'09""",4.2,165,1166,36
484,"Palkia",NA,"Water","Dragon",4,TRUE,FALSE,FALSE,"Pokémon of Myth","trios","Origin Forme",1452.8,659,1162,20,NA,"20'08""",6.3,248,1182,20
484,"Palkia",NA,"Water","Dragon",4,TRUE,FALSE,FALSE,"Pokémon of Myth","trios","Origin Forme",740.8,336,1133,49,NA,"20'08""",6.3,248,1182,20
484,"Palkia",NA,"Water","Dragon",4,TRUE,FALSE,FALSE,"Pokémon of Myth","trios","Origin Forme",1452.8,659,1162,20,NA,"13'09""",4.2,165,1166,36
485,"Heatran",NA,"Fire","Steel",4,TRUE,FALSE,FALSE,NA,NA,NA,948,430,1150,32,NA,"5'07""",1.7,67,952,250
486,"Regigigas",NA,"Normal",NA,4,TRUE,FALSE,FALSE,NA,NA,NA,925.9,420,1148,34,NA,"12'02""",3.7,146,1158,44
487,"Giratina",NA,"Ghost","Dragon",4,TRUE,FALSE,FALSE,"Pokémon of Myth","trios","Origin Forme",1433,650,1160,22,NA,"22'08""",6.9,272,1186,16
487,"Giratina",NA,"Ghost","Dragon",4,TRUE,FALSE,FALSE,"Pokémon of Myth","trios","Altered Forme",1653.5,750,1167,15,NA,"14'09""",4.5,177,1169,33
488,"Cresselia",NA,"Psychic",NA,4,TRUE,FALSE,FALSE,"Lunar duo","duos",NA,188.7,85.6,920,262,NA,"4'11""",1.5,59,847,355
489,"Phione",NA,"Water",NA,4,FALSE,TRUE,FALSE,"Sea guardians","duos",NA,6.8,3.1,115,1067,NA,"1'04""",0.4,16,165,1037
490,"Manaphy",NA,"Water",NA,4,FALSE,TRUE,FALSE,"Sea guardians","duos",NA,3.1,1.4,59,1123,NA,"1'00""",0.3,12,71,1131
491,"Darkrai",NA,"Dark",NA,4,FALSE,TRUE,FALSE,"Lunar duo","duos",NA,111.3,50.5,759,423,NA,"4'11""",1.5,59,848,354
492,"Shaymin",NA,"Grass",NA,4,FALSE,TRUE,FALSE,NA,NA,"Land Forme",4.6,2.1,87,1095,NA,"0'08""",0.2,8,16,1186
492,"Shaymin",NA,"Grass",NA,4,FALSE,TRUE,FALSE,NA,NA,"Sky Forme",11.5,5.2,185,997,NA,"1'04""",0.4,16,166,1036
492,"Shaymin",NA,"Grass","Flying",4,FALSE,TRUE,FALSE,NA,NA,"Land Forme",4.6,2.1,87,1095,NA,"0'08""",0.2,8,16,1186
492,"Shaymin",NA,"Grass","Flying",4,FALSE,TRUE,FALSE,NA,NA,"Sky Forme",11.5,5.2,185,997,NA,"1'04""",0.4,16,166,1036
493,"Arceus",NA,"Normal",NA,4,FALSE,TRUE,FALSE,NA,NA,NA,705.5,320,1123,59,NA,"10'06""",3.2,126,1143,59
494,"Victini",NA,"Psychic","Fire",5,FALSE,TRUE,FALSE,NA,NA,NA,8.8,4,149,1033,NA,"1'04""",0.4,16,167,1035
495,"Snivy",NA,"Grass",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,17.9,8.1,268,914,NA,"2'00""",0.6,24,331,871
496,"Servine",NA,"Grass",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,35.3,16,414,768,NA,"2'07""",0.8,31,469,733
497,"Serperior",NA,"Grass",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,138.9,63,844,338,NA,"10'10""",3.3,130,1147,55
498,"Tepig",NA,"Fire",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,21.8,9.9,307,875,NA,"1'08""",0.5,20,249,953
499,"Pignite",NA,"Fire","Fighting",5,FALSE,FALSE,FALSE,NA,NA,NA,122.4,55.5,788,394,NA,"3'03""",1,39,577,625
500,"Emboar",NA,"Fire","Fighting",5,FALSE,FALSE,FALSE,NA,NA,NA,330.7,150,1033,149,NA,"5'03""",1.6,63,901,301
501,"Oshawott",NA,"Water",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,13,5.9,201,981,NA,"1'08""",0.5,20,250,952
502,"Dewott",NA,"Water",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,54,24.5,523,659,NA,"2'07""",0.8,31,470,732
503,"Samurott",NA,"Water",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,208.6,94.6,943,239,NA,"4'11""",1.5,59,849,353
503,"Samurott","Hisuian Form","Water","Dark",5,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,"Patrat",NA,"Normal",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,25.6,11.6,344,838,NA,"1'08""",0.5,20,251,951
505,"Watchog",NA,"Normal",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,59.5,27,548,634,NA,"3'07""",1.1,43,637,565
506,"Lillipup",NA,"Normal",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,9,4.1,155,1027,NA,"1'04""",0.4,16,168,1034
507,"Herdier",NA,"Normal",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,32.4,14.7,391,791,NA,"2'11""",0.9,35,519,683
508,"Stoutland",NA,"Normal",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,134.5,61,832,350,NA,"3'11""",1.2,47,693,509
509,"Purrloin",NA,"Dark",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,22.3,10.1,312,870,NA,"1'04""",0.4,16,169,1033
510,"Liepard",NA,"Dark",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,82.7,37.5,661,521,NA,"3'07""",1.1,43,638,564
511,"Pansage",NA,"Grass",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,23.1,10.5,318,864,NA,"2'00""",0.6,24,332,870
512,"Simisage",NA,"Grass",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,67.2,30.5,592,590,NA,"3'07""",1.1,43,639,563
513,"Pansear",NA,"Fire",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,24.3,11,331,851,NA,"2'00""",0.6,24,333,869
514,"Simisear",NA,"Fire",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,61.7,28,557,625,NA,"3'03""",1,39,578,624
515,"Panpour",NA,"Water",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,29.8,13.5,376,806,NA,"2'00""",0.6,24,334,868
516,"Simipour",NA,"Water",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,63.9,29,569,613,NA,"3'03""",1,39,579,623
517,"Munna",NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,51.4,23.3,509,673,NA,"2'00""",0.6,24,335,867
518,"Musharna",NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,133.4,60.5,826,356,NA,"3'07""",1.1,43,640,562
519,"Pidove",NA,"Normal","Flying",5,FALSE,FALSE,FALSE,NA,NA,NA,4.6,2.1,88,1094,NA,"1'00""",0.3,12,72,1130
520,"Tranquill",NA,"Normal","Flying",5,FALSE,FALSE,FALSE,NA,NA,NA,33.1,15,401,781,NA,"2'00""",0.6,24,336,866
521,"Unfezant",NA,"Normal","Flying",5,FALSE,FALSE,FALSE,NA,NA,NA,63.9,29,570,612,NA,"3'11""",1.2,47,694,508
522,"Blitzle",NA,"Electric",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,65.7,29.8,577,605,NA,"2'07""",0.8,31,471,731
523,"Zebstrika",NA,"Electric",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,175.3,79.5,893,289,NA,"5'03""",1.6,63,902,300
524,"Roggenrola",NA,"Rock",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,39.7,18,438,744,NA,"1'04""",0.4,16,170,1032
525,"Boldore",NA,"Rock",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,224.9,102,965,217,NA,"2'11""",0.9,35,520,682
526,"Gigalith",NA,"Rock",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,573.2,260,1104,78,NA,"5'07""",1.7,67,953,249
527,"Woobat",NA,"Psychic","Flying",5,FALSE,FALSE,FALSE,NA,NA,NA,4.6,2.1,89,1093,NA,"1'04""",0.4,16,171,1031
528,"Swoobat",NA,"Psychic","Flying",5,FALSE,FALSE,FALSE,NA,NA,NA,23.1,10.5,319,863,NA,"2'11""",0.9,35,521,681
529,"Drilbur",NA,"Ground",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,18.7,8.5,277,905,NA,"1'00""",0.3,12,73,1129
530,"Excadrill",NA,"Ground","Steel",5,FALSE,FALSE,FALSE,NA,NA,NA,89.1,40.4,696,486,NA,"2'04""",0.7,28,409,793
531,"Audino",NA,"Normal",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,68.3,31,596,586,NA,"3'07""",1.1,43,641,561
531,"Audino",NA,"Normal",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,70.5,32,609,573,"Mega","4'11""",1.5,59,851,351
532,"Timburr",NA,"Fighting",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,27.6,12.5,362,820,NA,"2'00""",0.6,24,337,865
533,"Gurdurr",NA,"Fighting",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,88.2,40,687,495,NA,"3'11""",1.2,47,695,507
534,"Conkeldurr",NA,"Fighting",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,191.8,87,922,260,NA,"4'07""",1.4,55,801,401
535,"Tympole",NA,"Water",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,9.9,4.5,166,1016,NA,"1'08""",0.5,20,252,950
536,"Palpitoad",NA,"Water","Ground",5,FALSE,FALSE,FALSE,NA,NA,NA,37.5,17,427,755,NA,"2'07""",0.8,31,472,730
537,"Seismitoad",NA,"Water","Ground",5,FALSE,FALSE,FALSE,NA,NA,NA,136.7,62,840,342,NA,"4'11""",1.5,59,852,350
538,"Throh",NA,"Fighting",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,122.4,55.5,789,393,NA,"4'03""",1.3,51,754,448
539,"Sawk",NA,"Fighting",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,112.4,51,761,421,NA,"4'07""",1.4,55,802,400
540,"Sewaddle",NA,"Bug","Grass",5,FALSE,FALSE,FALSE,NA,NA,NA,5.5,2.5,100,1082,NA,"1'00""",0.3,12,74,1128
541,"Swadloon",NA,"Bug","Grass",5,FALSE,FALSE,FALSE,NA,NA,NA,16.1,7.3,241,941,NA,"1'08""",0.5,20,253,949
542,"Leavanny",NA,"Bug","Grass",5,FALSE,FALSE,FALSE,NA,NA,NA,45.2,20.5,478,704,NA,"3'11""",1.2,47,696,506
543,"Venipede",NA,"Bug","Poison",5,FALSE,FALSE,FALSE,NA,NA,NA,11.7,5.3,186,996,NA,"1'04""",0.4,16,172,1030
544,"Whirlipede",NA,"Bug","Poison",5,FALSE,FALSE,FALSE,NA,NA,NA,129,58.5,808,374,NA,"3'11""",1.2,47,697,505
545,"Scolipede",NA,"Bug","Poison",5,FALSE,FALSE,FALSE,NA,NA,NA,442,200.5,1068,114,NA,"8'02""",2.5,98,1109,93
546,"Cottonee",NA,"Grass","Fairy",5,FALSE,FALSE,FALSE,NA,NA,NA,1.3,0.6,29,1153,NA,"1'00""",0.3,12,75,1127
547,"Whimsicott",NA,"Grass","Fairy",5,FALSE,FALSE,FALSE,NA,NA,NA,14.6,6.6,230,952,NA,"2'04""",0.7,28,410,792
548,"Petilil",NA,"Grass",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,14.6,6.6,231,951,NA,"1'08""",0.5,20,254,948
549,"Lilligant",NA,"Grass",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,35.9,16.3,422,760,NA,"3'07""",1.1,43,642,560
549,"Lilligant","Hisuian Form","Grass","Fighting",5,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,"Basculin",NA,"Water",NA,5,FALSE,FALSE,FALSE,NA,NA,"Red-Stripe",39.7,18,439,743,NA,"3'03""",1,39,580,622
550,"Basculin",NA,"Water",NA,5,FALSE,FALSE,FALSE,NA,NA,"Blue-Stripe",39.7,18,439,743,NA,"3'03""",1,39,581,621
550,"Basculin",NA,"Water",NA,5,FALSE,FALSE,FALSE,NA,NA,"White-Stripe",39.7,18,439,743,NA,"3'03""",1,39,582,620
551,"Sandile",NA,"Ground","Dark",5,FALSE,FALSE,FALSE,NA,NA,NA,33.5,15.2,406,776,NA,"2'04""",0.7,28,411,791
552,"Krokorok",NA,"Ground","Dark",5,FALSE,FALSE,FALSE,NA,NA,NA,73.6,33.4,628,554,NA,"3'03""",1,39,583,619
553,"Krookodile",NA,"Ground","Dark",5,FALSE,FALSE,FALSE,NA,NA,NA,212.3,96.3,949,233,NA,"4'11""",1.5,59,853,349
554,"Darumaka",NA,"Fire",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,82.7,37.5,662,520,NA,"2'00""",0.6,24,338,864
554,"Darumaka","Galarian Form","Ice",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,"Darmanitan",NA,"Fire",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,204.8,92.9,940,242,NA,"4'03""",1.3,51,755,447
555,"Darmanitan",NA,"Fire",NA,5,FALSE,FALSE,FALSE,NA,NA,"Zen Mode",204.8,92.9,940,242,NA,"4'03""",1.3,51,756,446
555,"Darmanitan",NA,"Fire","Psychic",5,FALSE,FALSE,FALSE,NA,NA,NA,204.8,92.9,940,242,NA,"4'03""",1.3,51,755,447
555,"Darmanitan",NA,"Fire","Psychic",5,FALSE,FALSE,FALSE,NA,NA,"Zen Mode",204.8,92.9,940,242,NA,"4'03""",1.3,51,756,446
555,"Darmanitan","Galarian Form","Ice",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,"Darmanitan","Galarian Form","Ice","Fire",5,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556,"Maractus",NA,"Grass",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,61.7,28,558,624,NA,"3'03""",1,39,584,618
557,"Dwebble",NA,"Bug","Rock",5,FALSE,FALSE,FALSE,NA,NA,NA,32,14.5,388,794,NA,"1'00""",0.3,12,76,1126
558,"Crustle",NA,"Bug","Rock",5,FALSE,FALSE,FALSE,NA,NA,NA,440.9,200,1065,117,NA,"4'07""",1.4,55,803,399
559,"Scraggy",NA,"Dark","Fighting",5,FALSE,FALSE,FALSE,NA,NA,NA,26,11.8,345,837,NA,"2'00""",0.6,24,339,863
560,"Scrafty",NA,"Dark","Fighting",5,FALSE,FALSE,FALSE,NA,NA,NA,66.1,30,586,596,NA,"3'07""",1.1,43,643,559
561,"Sigilyph",NA,"Psychic","Flying",5,FALSE,FALSE,FALSE,NA,NA,NA,30.9,14,382,800,NA,"4'07""",1.4,55,804,398
562,"Yamask",NA,"Ghost",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,3.3,1.5,61,1121,NA,"1'08""",0.5,20,255,947
562,"Yamask","Galarian Form","Ground","Ghost",5,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,"Cofagrigus",NA,"Ghost",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,168.7,76.5,880,302,NA,"5'07""",1.7,67,956,246
564,"Tirtouga",NA,"Water","Rock",5,FALSE,FALSE,FALSE,NA,NA,NA,36.4,16.5,424,758,NA,"2'04""",0.7,28,413,789
565,"Carracosta",NA,"Water","Rock",5,FALSE,FALSE,FALSE,NA,NA,NA,178.6,81,901,281,NA,"3'11""",1.2,47,699,503
566,"Archen",NA,"Rock","Flying",5,FALSE,FALSE,FALSE,NA,NA,NA,20.9,9.5,301,881,NA,"1'08""",0.5,20,257,945
567,"Archeops",NA,"Rock","Flying",5,FALSE,FALSE,FALSE,NA,NA,NA,70.5,32,610,572,NA,"4'07""",1.4,55,805,397
568,"Trubbish",NA,"Poison",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,68.3,31,597,585,NA,"2'00""",0.6,24,340,862
569,"Garbodor",NA,"Poison",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,236.6,107.3,976,206,NA,"6'03""",1.9,75,1015,187
570,"Zorua",NA,"Dark",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,27.6,12.5,363,819,NA,"2'04""",0.7,28,414,788
570,"Zorua","Hisuian Form","Normal","Ghost",5,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,"Zoroark",NA,"Dark",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,178.8,81.1,904,278,NA,"5'03""",1.6,63,903,299
571,"Zoroark","Hisuian Form","Normal","Ghost",5,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572,"Minccino",NA,"Normal",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,12.8,5.8,199,983,NA,"1'04""",0.4,16,173,1029
573,"Cinccino",NA,"Normal",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,16.5,7.5,248,934,NA,"1'08""",0.5,20,258,944
574,"Gothita",NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,12.8,5.8,200,982,NA,"1'04""",0.4,16,174,1028
575,"Gothorita",NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,39.7,18,440,742,NA,"2'04""",0.7,28,416,786
576,"Gothitelle",NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,97,44,721,461,NA,"4'11""",1.5,59,854,348
577,"Solosis",NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,2.2,1,43,1139,NA,"1'00""",0.3,12,77,1125
578,"Duosion",NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,17.6,8,259,923,NA,"2'00""",0.6,24,341,861
579,"Reuniclus",NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,NA,44.3,20.1,471,711,NA,"3'03""",1,39,585,617
